filing_date,ticker,name,form,description,accession,url,cik
2026-07-08,AMZN,Amazon,424B5,424B5,0001104659-26-081786,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081786/tm2619352-2_424b5.htm,0001018724
2026-07-07,AMZN,Amazon,FWP,FWP,0001104659-26-081334,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081334/tm2619352d3_fwp.htm,0001018724
2026-07-07,AMZN,Amazon,424B5,424B5,0001104659-26-080950,https://www.sec.gov/Archives/edgar/data/1018724/000110465926080950/tm2619352-1_424b5.htm,0001018724
2026-06-23,ORCL,Oracle,424B5,424B5,0001193125-26-278585,https://www.sec.gov/Archives/edgar/data/1341439/000119312526278585/d120346d424b5.htm,0001341439
2026-06-17,NVDA,NVIDIA,424B5,424B5,0001193125-26-273139,https://www.sec.gov/Archives/edgar/data/1045810/000119312526273139/d118718d424b5.htm,0001045810
2026-06-15,NVDA,NVIDIA,FWP,FWP,0001193125-26-271326,https://www.sec.gov/Archives/edgar/data/1045810/000119312526271326/d49394dfwp.htm,0001045810
2026-06-15,NVDA,NVIDIA,424B5,424B5,0001193125-26-270302,https://www.sec.gov/Archives/edgar/data/1045810/000119312526270302/d118718d424b5.htm,0001045810
2026-06-10,AMZN,Amazon,424B5,424B5,0001104659-26-072332,https://www.sec.gov/Archives/edgar/data/1018724/000110465926072332/tm2613616-2_424b5.htm,0001018724
2026-06-08,AMZN,Amazon,FWP,FWP,0001104659-26-071456,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071456/tm2613616d3_fwp.htm,0001018724
2026-06-08,AMZN,Amazon,424B5,424B5,0001104659-26-071190,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071190/tm2613616-1_424b5.htm,0001018724
2026-06-04,GOOGL,Alphabet,424B5,424B5,0001193125-26-257702,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257702/d152175d424b5.htm,0001652044
2026-06-04,GOOGL,Alphabet,424B5,424B5,0001193125-26-257690,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257690/d159942d424b5.htm,0001652044
2026-06-04,GOOGL,Alphabet,424B5,424B5,0001193125-26-256375,https://www.sec.gov/Archives/edgar/data/1652044/000119312526256375/d152107d424b5.htm,0001652044
2026-06-03,GOOGL,Alphabet,FWP,FWP,0001193125-26-254490,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254490/d110089dfwp.htm,0001652044
2026-06-03,GOOGL,Alphabet,FWP,FWP,0001193125-26-254474,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254474/d152589dfwp.htm,0001652044
2026-06-02,GOOGL,Alphabet,424B5,424B5,0001193125-26-252439,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252439/d150348d424b5.htm,0001652044
2026-06-02,GOOGL,Alphabet,424B5,424B5,0001193125-26-252392,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252392/d152175d424b5.htm,0001652044
2026-06-02,GOOGL,Alphabet,424B5,424B5,0001193125-26-252374,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252374/d159942d424b5.htm,0001652044
2026-06-02,GOOGL,Alphabet,424B5,424B5,0001193125-26-252362,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252362/d152107d424b5.htm,0001652044
2026-06-01,GOOGL,Alphabet,FWP,FWP,0001193125-26-251733,https://www.sec.gov/Archives/edgar/data/1652044/000119312526251733/d160205dfwp.htm,0001652044
2026-06-01,GOOGL,Alphabet,S-3ASR,S-3ASR,0001193125-26-251560,https://www.sec.gov/Archives/edgar/data/1652044/000119312526251560/d135361ds3asr.htm,0001652044
2026-05-18,GOOGL,Alphabet,424B5,424B5,0001193125-26-228923,https://www.sec.gov/Archives/edgar/data/1652044/000119312526228923/d137872d424b5.htm,0001652044
2026-05-15,GOOGL,Alphabet,FWP,FWP,0001193125-26-225046,https://www.sec.gov/Archives/edgar/data/1652044/000119312526225046/d104539dfwp.htm,0001652044
2026-05-11,GOOGL,Alphabet,424B5,424B5,0001193125-26-215570,https://www.sec.gov/Archives/edgar/data/1652044/000119312526215570/d137872d424b5.htm,0001652044
2026-05-07,GOOGL,Alphabet,424B2,424B2,0001193125-26-212222,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212222/d325417d424b2.htm,0001652044
2026-05-07,GOOGL,Alphabet,424B2,424B2,0001193125-26-212210,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212210/d152073d424b2.htm,0001652044
2026-05-05,GOOGL,Alphabet,FWP,FWP,0001193125-26-206809,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206809/d134313dfwp.htm,0001652044
2026-05-05,GOOGL,Alphabet,FWP,FWP,0001193125-26-206404,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206404/d127573dfwp.htm,0001652044
2026-05-05,GOOGL,Alphabet,424B5,424B5,0001193125-26-205120,https://www.sec.gov/Archives/edgar/data/1652044/000119312526205120/d325417d424b5.htm,0001652044
2026-05-05,GOOGL,Alphabet,424B5,424B5,0001193125-26-204938,https://www.sec.gov/Archives/edgar/data/1652044/000119312526204938/d152073d424b5.htm,0001652044
2026-05-01,META,Meta,424B2,424B2,0001193125-26-201738,https://www.sec.gov/Archives/edgar/data/1326801/000119312526201738/d109954d424b2.htm,0001326801
2026-04-30,META,Meta,FWP,FWP,0001193125-26-197902,https://www.sec.gov/Archives/edgar/data/1326801/000119312526197902/d148113dfwp.htm,0001326801
2026-04-30,META,Meta,424B2,424B2,0001193125-26-194082,https://www.sec.gov/Archives/edgar/data/1326801/000119312526194082/d109954d424b2.htm,0001326801
2026-04-30,META,Meta,S-3ASR,S-3ASR,0001193125-26-194008,https://www.sec.gov/Archives/edgar/data/1326801/000119312526194008/d102985ds3asr.htm,0001326801
2026-03-13,AMZN,Amazon,424B5,424B5,0001104659-26-027669,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027669/tm266670-6_424b5.htm,0001018724
2026-03-12,AMZN,Amazon,424B5,424B5,0001104659-26-027125,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027125/tm266670-4_424b5.htm,0001018724
2026-03-11,AMZN,Amazon,FWP,FWP,0001104659-26-026393,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026393/tm266670d7_fwp.htm,0001018724
2026-03-11,AMZN,Amazon,424B5,424B5,0001104659-26-026082,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026082/tm266670-2_424b5.htm,0001018724
2026-03-10,AMZN,Amazon,FWP,FWP,0001104659-26-025948,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025948/tm266670d5_fwp.htm,0001018724
2026-03-10,AMZN,Amazon,424B5,424B5,0001104659-26-025560,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025560/tm266670-3_424b5.htm,0001018724
2026-02-12,GOOGL,Alphabet,424B2,424B2,0001193125-26-048730,https://www.sec.gov/Archives/edgar/data/1652044/000119312526048730/d108423d424b2.htm,0001652044
