date,total_mn,equity_mn,equity_domestic_mn,bond_mn
2024-01-31,48545.0,4017.0,4658.0,55176.0
2024-02-29,42249.0,5858.0,-532.0,46839.0
2024-03-31,87185.0,47831.0,46771.0,44945.0
2024-04-30,-37106.0,-49434.0,-40415.0,24292.0
2024-05-31,53771.0,26496.0,26157.0,35549.0
2024-06-30,20282.0,9639.0,-557.0,19611.0
2024-07-31,87776.0,41551.0,52451.0,53227.0
2024-08-31,10904.0,-18459.0,-7086.0,36621.0
2024-09-30,50484.0,13809.0,9600.0,44496.0
2024-10-31,62278.0,-23.0,-3890.0,66804.0
2024-11-30,102916.0,72057.0,70926.0,42850.0
2024-12-31,47402.0,38002.0,44887.0,20233.0
2025-01-31,33174.0,-3987.0,6326.0,45710.0
2025-02-28,65472.0,6684.0,10649.0,57853.0
2025-03-31,3591.0,-6555.0,-2374.0,15860.0
2025-04-30,-62018.0,741.0,11740.0,-53050.0
2025-05-31,35924.0,-14553.0,-18003.0,58765.0
2025-06-30,41759.0,-8262.0,-21397.0,49147.0
2025-07-31,-222756.0,-285668.0,-299439.0,63968.0
2025-08-31,46915.0,-18847.0,-22434.0,65552.0
2025-09-30,70762.0,-4806.0,-18248.0,68634.0
2025-10-31,77746.0,3861.0,-12770.0,74174.0
2025-11-30,67051.0,20632.0,2185.0,53009.0
2025-12-31,86769.0,31772.0,19301.0,53250.0
2026-01-31,104198.0,7616.0,-36801.0,96975.0
2026-02-28,151226.0,41030.0,2806.0,104839.0
2026-03-31,37470.0,22069.0,8942.0,36939.0
2026-04-30,101466.0,60959.0,37470.0,45760.0
2026-05-31,108745.0,3437.0,6177.0,107301.0
2026-06-03,38651.0,6754.0,9635.0,31554.0
2026-06-10,31533.0,16655.0,18289.0,18209.0
2026-06-17,66330.0,55969.0,48979.0,16463.0
2026-06-24,-1892.0,-13009.0,-17175.0,12459.0
2026-07-01,3433.0,-10217.0,-5828.0,18675.0
