date,total_mn,equity_mn,equity_domestic_mn,bond_mn
2024-01-31,-20567.0,-44924.0,-39251.0,32619.0
2024-02-29,-2979.0,-31769.0,-29152.0,37534.0
2024-03-31,-24952.0,-43792.0,-31787.0,26617.0
2024-04-30,-64921.0,-59751.0,-46979.0,7896.0
2024-05-31,-41067.0,-40868.0,-31688.0,7792.0
2024-06-30,-54376.0,-38822.0,-37049.0,-6256.0
2024-07-31,-57812.0,-61319.0,-51164.0,13612.0
2024-08-31,-52537.0,-47623.0,-37918.0,3884.0
2024-09-30,-40079.0,-46958.0,-35825.0,16538.0
2024-10-31,-57241.0,-82490.0,-68057.0,34114.0
2024-11-30,-53737.0,-55778.0,-54247.0,14326.0
2024-12-31,-97897.0,-94328.0,-76559.0,6599.0
2025-01-31,-61676.0,-61654.0,-48676.0,8590.0
2025-02-28,-48050.0,-55465.0,-39429.0,14433.0
2025-03-31,-86550.0,-66451.0,-45997.0,-7432.0
2025-04-30,-118412.0,-38844.0,-21250.0,-65638.0
2025-05-31,-42300.0,-56922.0,-41979.0,21186.0
2025-06-30,-67765.0,-74860.0,-61649.0,14162.0
2025-07-31,-335974.0,-367171.0,-357449.0,36820.0
2025-08-31,-64136.0,-74023.0,-64845.0,16397.0
2025-09-30,-70997.0,-93683.0,-78826.0,28382.0
2025-10-31,-104094.0,-116613.0,-104213.0,20023.0
2025-11-30,-80978.0,-80412.0,-73142.0,7639.0
2025-12-31,-142655.0,-148794.0,-114840.0,14901.0
2026-01-31,-48452.0,-84152.0,-63141.0,41564.0
2026-02-28,-33485.0,-64094.0,-45696.0,33782.0
2026-03-31,-72782.0,-50303.0,-38669.0,-11447.0
2026-04-30,-62601.0,-69447.0,-65643.0,12565.0
2026-05-31,-74717.0,-110446.0,-88588.0,42790.0
2026-06-03,-22853.0,-37375.0,-27036.0,16665.0
2026-06-10,-16812.0,-20428.0,-16327.0,5253.0
2026-06-17,-27814.0,-25214.0,-21806.0,2454.0
2026-06-24,-12442.0,-16330.0,-13443.0,4745.0
2026-07-01,-28868.0,-29913.0,-22099.0,3731.0
