quarter,quarter_end,buybacks_B,source
2022-Q1,2022-03-31,281.0,SPDJI press release
2022-Q2,2022-06-30,219.6,SPDJI press release
2022-Q3,2022-09-30,210.8,SPDJI press release
2022-Q4,2022-12-31,211.2,SPDJI press release
2023-Q1,2023-03-31,215.5,SPDJI press release
2023-Q2,2023-06-30,174.9,SPDJI press release
2023-Q3,2023-09-30,185.6,SPDJI press release
2023-Q4,2023-12-31,219.1,SPDJI press release
2024-Q1,2024-03-31,236.8,SPDJI press release
2024-Q2,2024-06-30,235.2,SPDJI press release
2024-Q3,2024-09-30,242.3,SPDJI press release
2024-Q4,2024-12-31,243.2,SPDJI press release
2025-Q1,2025-03-31,293.5,SPDJI press release
